@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
11,'2021/01/06 03:33:52:713',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
12,'2021/01/06 03:33:52:713',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
13,'2021/01/06 03:33:52:713',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
14,'2021/01/06 03:33:52:714',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
15,'2021/01/06 03:33:52:714',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
16,'2021/01/06 03:33:52:715',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
17,'2021/01/06 03:33:52:715',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
18,'2021/01/06 03:33:52:715',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
19,'2021/01/06 03:33:52:715',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
20,'2021/01/06 03:33:52:715',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
21,'2021/01/06 03:33:52:747',1,-9216924,-7307388,-4934990,-789260,-131587,-131587,-328709,-4078397,-7304305,-8753291,-10004643,-7832448,-4607054,-855054,-131587,-131587,-197380,-2300955,-6512989,-9738389,-9610912,-8359051,-6712174,-3354936,-460297,-197380,-723214,-4867401,-8158586,-9674390,-10006190,-9674657,-8948879,-7369072,-5131594,-3749172,-2762539,-7762549,-9934485,-10791847,-11780544,-11385273,-11055537,-10067612,-8685175,-8158832,-6709343,-9012620,-11447983,-12369598,-12241352,-12372425,-12240069,-11647161,-10265239,-10593689,-11184808,-8750224,-12501188,-13028300,-13227990,-13095891,-13095634,-12831431,-11122088,-11122088,-12107711,-11711675,-11974849,-13095379,-14148063,-14016220,-13950170,-13555151,-12436916,-12634814,-13029582,-13489106,-12501451,-13490136,-14608356,-14476513,-14475999,-13818321,-13291715,-13555147,-13884119,-14212313,-14146524,-13817561,-14608099,-14739171,-14607585,-14015701,-13424070,-14015699,-14147036,-14344156,-14541279,-13752537,0,0,0.88,0
